X,Y,OBJECTID,Status,Score,Match_addr,ShortLabel,USER_Year,USER_County,USER_District,USER_CDS2,USER_Name,USER_Street,USER_City,USER_State,USER_Zip,USER_Type,USER_Accommodations,USER_Classification,USER_LowGrade,USER_HighGrade,USER_EnrollK,USER_Enroll1,USER_Enroll2,USER_Enroll3,USER_Enroll4,USER_Enroll5,USER_Enroll6,USER_Enroll7,USER_Enroll8,USER_Enroll9,USER_Enroll10,USER_Enroll11,USER_Enroll12,USER_TotalEnroll,USER_PrevYearGrads,USER_FullTimeTeach,USER_PartTimeTeach,USER_Administrators,USER_OtherStaff,USER_TaxExempt,USER_CDS,USER_EnrollK5,USER_Enroll68,USER_Enroll912,COUNTY_NAM,CO_TEST,CO_TEST_Note
-13610839.0667,4551092.469,72,M,98.48,"900 Alice St, Suite 10, Oakland, California, 94607","900 Alice St, Suite 10",2024-25,Alameda,Oakland Unified,A01612596133722,LAMBO Academy International,"900 Alice St, #10",Oakland,CA,94607,Coeducational,Day Only,Nondenominational,Eighth Grade ,Twelfth Grade,0,0,0,0,0,0,0,0,1,2,2,1,0,6,0,1,1,1,0,Yes,01612596133722,0,1,5,Alameda,1,
-13609579.302,4558363.196,73,M,98.48,"410 Alcatraz Ave, Oakland, California, 94609",410 Alcatraz Ave,2024-25,Alameda,Oakland Unified,A01612596138184,Escuela Bilingüe Internacional,410 Alcatraz Avenue,Oakland,CA,94609,Coeducational,Day Only,Non-Religious,Kindergarten,First Grade,34,28,0,0,0,0,0,0,0,0,0,0,0,62,0,9,1,5,19,Yes,01612596138184,62,0,0,Alameda,1,
-13602521.7905,4549672.2865,74,M,98.48,"3695 High St, Oakland, California, 94619",3695 High St,2024-25,Alameda,Oakland Unified,A01612596140131,Seneca Family of Agencies-Maya Angelou Academy,3695 High Street ,Oakland,CA,94619,Coeducational,Day Only,Non-Religious,Kindergarten,Fifth Grade,0,2,3,2,4,5,0,0,0,0,0,0,0,16,0,4,0,5,21,Yes,01612596140131,16,0,0,Alameda,1,
-13599375.6118,4546109.8922,75,M,98.06,"8032 Macarthur Blvd, Oakland, California, 94605",8032 Macarthur Blvd,2024-25,Alameda,Oakland Unified,A01612596149835,Deecolonize Academy,8032 Macarthur Blvd,Oakland,CA,94621,Coeducational,Day Only,Non-Religious,Kindergarten,Twelfth Grade,0,1,0,3,0,2,1,1,0,0,0,2,0,10,1,1,10,3,2,Yes,01612596149835,6,2,2,Alameda,1,
-13605722.2086,4548202.7745,76,M,98.48,"1530 34th Ave, Oakland, California, 94601",1530 34th Ave,2024-25,Alameda,Oakland Unified,A01612596154736,Cristo Rey De La Salle East Bay High School,1530 34Th Ave,Oakland,CA,94601,Coeducational,Day Only,Catholic,Ninth Grade,Twelfth Grade,0,0,0,0,0,0,0,0,0,75,96,86,77,334,69,24,0,4,19,Yes,01612596154736,0,0,334,Alameda,1,
-13607580.3412,4558495.4329,77,M,98.48,"6925 Chabot Rd, Oakland, California, 94618",6925 Chabot Rd,2024-25,Alameda,Oakland Unified,A01612596150544,Pear Tree Community School,6925 Chabot Road,Oakland,CA,94618,Coeducational,Day Only,Non-Religious,Kindergarten,Sixth Grade,15,15,12,8,8,9,3,0,0,0,0,0,0,70,0,6,4,2,0,No,01612596150544,67,3,0,Alameda,1,
-13598890.2946,4544906.1957,78,M,98.48,"9006 Macarthur Blvd, Oakland, California, 94605",9006 Macarthur Blvd,2024-25,Alameda,Oakland Unified,A01612596168595,The FREEdom School LLC,9006 Macarthur Blvd.,Oakland,CA,94605,Coeducational,Day Only,Non-Religious,Ninth Grade,Twelfth Grade,0,0,0,0,0,0,0,0,0,10,10,0,0,20,0,0,8,2,4,No,01612596168595,0,0,20,Alameda,1,
-13611482.082,4553643.9306,79,M,98.48,"2608 West St, Oakland, California, 94612",2608 West St,2024-25,Alameda,Oakland Unified,A01612596904452,St. Andrew M.B.C. Private P. C. P. C.,2608 West Street,Oakland,CA,94612,Coeducational,Day Only,Baptist,Kindergarten,Twelfth Grade,0,0,1,0,2,0,1,0,0,1,0,0,2,7,1,5,3,2,10,Yes,01612596904452,3,1,3,Alameda,1,
-13607610.8123,4549235.6788,80,M,97.91,"2001 Marin Way, Oakland, California, 94606",2001 Marin Way,2024-25,Alameda,Oakland Unified,A01612596171979,Zoom_Excel LLC,2001 Marin Way 12,Oakland,CA,94606,Coeducational,Both,Other,Kindergarten,Kindergarten,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,2,5,2,Yes,01612596171979,15,0,0,Alameda,1,
-13603868.1814,4551227.7782,81,M,98.48,"3800 Coolidge Ave, Oakland, California, 94602",3800 Coolidge Ave,2024-25,Alameda,Oakland Unified,A01612596909832,Fred Finch–Oakland Hills Academy,3800 Coolidge Avenue,Oakland,CA,94602,Coeducational,Both,Non-Religious,Sixth Grade,Twelfth Grade,0,0,0,0,0,0,1,1,1,3,4,3,2,15,1,2,0,1,3,Yes,01612596909832,0,3,12,Alameda,1,
