"school","address","public_vs_private","school_type","greatschools_rating","greatschools_rating_as_of","greatschools_profile_url","private_staffing_proxy_rating","private_staffing_proxy_basis","rating_notes","cds_code","latitude","longitude","geocode_matched_address","geocode_match_method","geocode_source","geocode_data_as_of"
"McKinley Elementary","1025 14th St., San Francisco, CA 94114","Public","Elementary School","9","2026-09-22","https://www.greatschools.org/california/san-francisco/6407-McKinley-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041420","37.7671128","-122.4364443","1025 14TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Milk (Harvey) Civil Rights Elementary","4235 19th St., San Francisco, CA 94114","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6408-Milk-Harvey-Civil-Rights-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786040919","37.75909","-122.4363131","4235 19TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Miraloma Elementary","175 Omar Way, San Francisco, CA 94127","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6409-Miraloma-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041438","37.7391337","-122.4501007","175 OMAR WAY","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Mission Education Center","1670 Noe St., San Francisco, CA 94131","Public","Elementary School","1","2026-09-22","https://www.greatschools.org/california/san-francisco/6410-Mission-Education-Center/","","","Current GreatSchools rating retrieved 2026-09-22","38684786089585","37.7422069","-122.4313353","1670 NOE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Mission High","3750 18th St., San Francisco, CA 94114","Public","High School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6411-Mission-High-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684783834082","37.7615974","-122.4269783","3750 18TH ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Mission Preparatory","1050 York St., San Francisco, CA 94110","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/25813-Mission-Preparatory-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684780123505","37.7552284","-122.4088664","1050 YORK ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Monroe Elementary","260 Madrid St., San Francisco, CA 94112","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6412-Monroe-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041446","37.7256048","-122.4302607","260 MADRID ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Moscone (George R.) Elementary","2576 Harrison St., San Francisco, CA 94110","Public","Elementary School","3","2026-09-22","https://www.greatschools.org/california/san-francisco/6413-Moscone-George-R.-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786099154","37.7563897","-122.4124617","2576 HARRISON ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"Muir (John) Elementary","380 Webster St., San Francisco, CA 94117","Public","Elementary School","6","2026-09-22","https://www.greatschools.org/california/san-francisco/6414-Muir-John-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786041255","37.7737385","-122.4289342","380 WEBSTER ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
"New Traditions Elementary","2049 Grove St., San Francisco, CA 94117","Public","Elementary School","8","2026-09-22","https://www.greatschools.org/california/san-francisco/6415-New-Traditions-Elementary-School/","","","Current GreatSchools rating retrieved 2026-09-22","38684786097919","37.7738854","-122.4502669","2049 GROVE ST","Exact DataSF address","DataSF Enterprise Addressing System","2026-09-21"
